Link,Цена,Пешком до метро,Станция метро,Адрес,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Аварийность,доп инфа
https://www.cian.ru/rent/flat/278216280/,ID,1 мин.,Охотный ряд,"['Москва', 'ЦАО', 'р-н Тверской', 'ул. Охотный Ряд', '2']",90,,,,"1 совмещенный, 1 раздельный",,Дизайнерский,2015,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 90 м²"
https://www.cian.ru/rent/flat/301171666/,300000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '21с1']",85,40,17,"3,2 м",2 совмещенных,,Дизайнерский,,,,,"Сдается 2-комн. апартаменты, 85 м²"
https://www.cian.ru/rent/flat/257204026/,32000,10 мин.,Черкизовская,"['Москва', 'Большая Черкизовская ул.', '22К1']",40,"18,3","7,6","2,48 м",1 совмещенный,,Косметический,1974,ii-68,Панельный,Нет,"Сдается 1-комн. квартира, 40 м²"
https://www.cian.ru/rent/flat/289432753/,350000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '15']",90,45,40,"4,5 м",2 совмещенных,,Евроремонт,2013,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 90 м²"
https://www.cian.ru/rent/flat/278216280/,ID,1 мин.,Охотный ряд,"['Москва', 'ЦАО', 'р-н Тверской', 'ул. Охотный Ряд', '2']",90,,,,"1 совмещенный, 1 раздельный",,Дизайнерский,2015,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 90 м²"
https://www.cian.ru/rent/flat/301171666/,300000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '21с1']",85,40,17,"3,2 м",2 совмещенных,,Дизайнерский,,,,,"Сдается 2-комн. апартаменты, 85 м²"
https://www.cian.ru/rent/flat/257204026/,32000,10 мин.,Черкизовская,"['Москва', 'Большая Черкизовская ул.', '22К1']",40,"18,3","7,6","2,48 м",1 совмещенный,,Косметический,1974,ii-68,Панельный,Нет,"Сдается 1-комн. квартира, 40 м²"
https://www.cian.ru/rent/flat/289432753/,350000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '15']",90,45,40,"4,5 м",2 совмещенных,,Евроремонт,2013,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 90 м²"
https://www.cian.ru/rent/flat/301264083/,150000,14 мин.,Спортивная,"['Москва', 'ЦАО', 'р-н Хамовники', 'Фрунзенская наб.', '50']","58,1",41,9,"2,7 м",1 совмещенный,,Евроремонт,1957,Индивидуальный проект,Кирпичный,Нет,"Сдается 2-комн. квартира, 58,1 м²"
https://www.cian.ru/rent/flat/296169653/,Андрей,11 мин.,Технопарк,"['Москва', 'ЮАО', 'р-н Даниловский', 'Автозаводская ул.', '23С16']",30,,,,1 совмещенный,,Дизайнерский,,,,,"Сдается Апартаменты-студия, 30 м²"
https://www.cian.ru/rent/flat/300924649/,150000,13 мин.,Улица 1905 года,"['Москва', 'ЦАО', 'р-н Пресненский', 'Ходынская ул.', '2']",69,35,10,3 м,2 совмещенных,,Дизайнерский,2018,Индивидуальный проект,Монолитный,Нет,"Сдается 2-комн. квартира, 69 м²"
https://www.cian.ru/rent/flat/302069040/,1200000,12 мин.,Киевская,"['Москва', 'Саввинская наб.', '13']",150,75,20,"3,3 м","1 совмещенный, 2 раздельных",,Дизайнерский,2021,,Монолитный,Нет,"Сдается 2-комн. квартира, 150 м²"
https://www.cian.ru/rent/flat/301215168/,37000,6 мин.,Филатов Луг,"['Москва', 'НАО (Новомосковский)', 'Сосенское поселение', 'бул. Севильский', '3']","20,3",10,4,"2,8 м",1 совмещенный,1 лоджия,Евроремонт,2023,Индивидуальный проект,,Нет,"Сдается Студия, 20,3 м²"
https://www.cian.ru/rent/flat/302088198/,1200000,12 мин.,Киевская,"['Москва', 'Саввинская наб.', '13']",150,,,4 м,,,Дизайнерский,2021,,Монолитный,Нет,"Сдается 2-комн. квартира, 150 м²"
https://www.cian.ru/rent/flat/293041539/,450000,7 мин.,Смоленская,"['Москва', 'ЦАО', 'р-н Арбат', 'ул. Новый Арбат', '27']",200,151,20,,"2 совмещенных, 1 раздельный",1 лоджия,Дизайнерский,2010,Индивидуальный проект,Монолитный,Нет,"Сдается 2-комн. квартира, 200 м²"
