Link,Цена,Пешком до метро,Станция метро,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Районы,Округа,В квартире есть,Залог,Срок аренды,Апартаменты,Кол-во комнат
https://www.cian.ru/rent/flat/257204026/,32000.0,10.0,Черкизовская,40.0,18.3,7.6,2.48,1.0,0.0,Косметический,1974.0,ii-68,Панельный,Преображенский район,СВАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",32000,от года,0,1
https://www.cian.ru/rent/flat/301264083/,150000.0,14.0,Спортивная,58.1,41.0,9.0,2.7,1.0,0.0,Евроремонт,1957.0,Индивидуальный проект,Кирпичный,'р-н Хамовники',ЦАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",150000,от года,0,2
https://www.cian.ru/rent/flat/300924649/,150000.0,13.0,Улица 1905 года,69.0,35.0,10.0,3.0,2.0,0.0,Дизайнерский,2018.0,Индивидуальный проект,Монолитный,'р-н Пресненский',ЦАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Интернет', 'Мебель на кухне', ""Мебель в комнатах']""]",150000,от года,0,2
https://www.cian.ru/rent/flat/293041539/,450000.0,7.0,Смоленская,200.0,151.0,20.0,2.7,3.0,1.0,Дизайнерский,2010.0,Индивидуальный проект,Монолитный,'р-н Арбат',ЦАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",450000,от года,0,2
https://www.cian.ru/rent/flat/301951602/,103600.0,17.0,Рабочий посёлок,62.0,36.0,10.0,2.7,1.0,0.0,Евроремонт,2019.0,Индивидуальный проект,Монолитный,'р-н Можайский',ЗАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",0,от года,0,2
https://www.cian.ru/rent/flat/300738067/,28000.0,13.0,Бунинская аллея,25.0,21.0,3.0,2.8,1.0,1.0,Евроремонт,2022.0,Индивидуальный проект,Блочный,Текстильщики,НАО (Новомосковский),"['Холодильник', 'Стиральная машина', 'Телевизор', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",28000,от года,0,1
https://www.cian.ru/rent/flat/302008462/,40000.0,6.0,Бабушкинская,45.0,18.0,6.0,2.64,1.0,1.0,Косметический,1971.0,II-49,Панельный,Бабушкинский район,СВАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",35000,от года,0,1
https://www.cian.ru/rent/flat/291686141/,55000.0,9.0,Петровский Парк,35.0,21.0,9.0,2.8,1.0,1.0,Евроремонт,1965.0,Индивидуальный проект,Кирпичный,Сокольники,ЦАО,"['Холодильник', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",55000,от года,0,1
https://www.cian.ru/rent/flat/302076579/,65000.0,13.0,Коньково,40.0,25.0,10.0,2.64,1.0,1.0,Евроремонт,1971.0,1-515,Панельный,Коньково,ЮЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",65000,от года,0,1
https://www.cian.ru/rent/flat/301968844/,45000.0,12.0,Ховрино,35.0,20.0,8.0,2.5,1.0,1.0,Евроремонт,1982.0,Индивидуальный проект,Кирпичный,Ховрино,САО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,1
https://www.cian.ru/rent/flat/301681276/,79000.0,17.0,Рабочий посёлок,37.4,19.0,10.0,2.65,1.0,1.0,Евроремонт,2019.0,Индивидуальный проект,Монолитный,'р-н Можайский',ЗАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",0,от года,0,1
